date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:52	100/100	---MCZ	200	added ('OK')	text/plain	etag:W/%225c66e67f-5f%22	http://agarios.org/robots.txt		(from )
18:40:52	31601/31601	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202019%2023:40:52%20GMT	http://agarios.org/	C:/My%20Web%20Sites/Pgar/agarios.org/index.html	(from )
18:40:53	819/819	---M--	200	added ('OK')	image/png	etag:%225c66e67f-333%22	http://agarios.org/favicon-32x32.png	C:/My%20Web%20Sites/Pgar/agarios.org/favicon-32x32.png	(from http://agarios.org/)
18:40:53	11205/11205	---M--	200	added ('OK')	image/png	etag:%225c66e67f-2bc5%22	http://agarios.org/1200x630.png	C:/My%20Web%20Sites/Pgar/agarios.org/1200x630.png	(from http://agarios.org/)
18:40:53	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Pgar/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://agarios.org/)
18:40:54	113991/113991	---MCZ	200	added ('OK')	text/css	etag:W/%225c66e67f-1bd47%22	http://agarios.org/css/bootstrap.min.css	C:/My%20Web%20Sites/Pgar/agarios.org/css/bootstrap.min.css	(from http://agarios.org/)
18:40:54	6308/6308	---MCZ	200	added ('OK')	text/css	etag:W/%225c66e67f-18a4%22	http://agarios.org/css/glyphicons-social.css	C:/My%20Web%20Sites/Pgar/agarios.org/css/glyphicons-social.css	(from http://agarios.org/)
18:40:54	17345/17345	---MCZ	200	added ('OK')	text/css	etag:W/%225c66e67f-43c1%22	http://agarios.org/css/styles.css?v=2.5.4	C:/My%20Web%20Sites/Pgar/agarios.org/css/styles12f9.css	(from http://agarios.org/)
18:40:55	3139/3139	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c66e67f-c43%22	http://agarios.org/js/cookie.js?v=2.5.4	C:/My%20Web%20Sites/Pgar/agarios.org/js/cookie12f9.js	(from http://agarios.org/)
18:40:55	90045/90045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c66e67f-15fbd%22	http://agarios.org/js/jquery.js	C:/My%20Web%20Sites/Pgar/agarios.org/js/jquery.js	(from http://agarios.org/)
18:40:56	3786/3786	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c66e67f-eca%22	http://agarios.org/js/language.js?v=2.5.4	C:/My%20Web%20Sites/Pgar/agarios.org/js/language12f9.js	(from http://agarios.org/)
18:40:57	34653/34653	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c66e67f-875d%22	http://agarios.org/js/bootstrap.min.js?v=2.5.4	C:/My%20Web%20Sites/Pgar/agarios.org/js/bootstrap.min12f9.js	(from http://agarios.org/)
18:40:57	5022/5022	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494d-139e%22	http://cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.6/jquery.lazy.min.js	C:/My%20Web%20Sites/Pgar/cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.6/jquery.lazy.min.js	(from http://agarios.org/)
